Time,x,y,z
340.0,-303.4663865582385,-175.00994494989342,-175.59277253215708
341.0,-304.73036884269766,-176.8511150844255,-177.5958804474429
342.0,-306.2527983391234,-178.05734525874865,-179.88219127385412
343.0,-308.8655512750163,-178.9143539568387,-181.08179878774402
344.0,-311.06064040618037,-179.86425384707073,-182.892675344769
345.0,-312.05376741855866,-182.13743176398168,-184.5797914923276
346.0,-312.5666055520968,-184.59653734385287,-186.21985148996043
347.0,-311.26258578291373,-186.86429722699629,-187.68845543724677
348.0,-311.7886614254918,-189.32031217264256,-189.3289538386627
349.0,-309.9965813672483,-191.3071292194504,-190.6857910018329
350.0,-308.71054230994196,-193.56729194929002,-192.1817081043912
351.0,-309.21945931362916,-195.99698417500943,-193.86622559365534
352.0,-309.68932101416806,-198.28394538290428,-195.75011476660336
353.0,-311.3691099558859,-200.1482309064031,-197.3941185981546
354.0,-313.1757733069502,-201.94107308051446,-198.982099855805
355.0,-314.97420487429633,-203.7413889477832,-200.57096947777947
356.0,-316.88484413736904,-205.4425104368356,-202.13801870670918
357.0,-318.67969387538415,-207.22425122720003,-203.75168353370972
358.0,-320.1932414495489,-209.1981711154869,-205.42882813551526
359.0,-321.61630366580914,-211.22825142282437,-207.11810841847992
360.0,-323.32424857245167,-213.09803428273287,-208.72647288360164
361.0,-324.952937529711,-215.02396334647287,-210.3507171761707
362.0,-326.5044677847399,-216.99773228524415,-211.99296869286098
363.0,-327.17518747977647,-219.136693109485,-213.9867043029791
364.0,-328.49877597018315,-221.14097430223558,-215.7841943331182
365.0,-330.123542461376,-222.92094444813378,-217.57076650596986
366.0,-331.2726583930812,-224.90726650705284,-219.50313739525402
367.0,-332.3717414784136,-226.90897316699358,-221.44869305343633
368.0,-333.4398015078132,-228.92278659230055,-223.39902719446252
369.0,-334.36274013051957,-230.99964158213498,-225.3573064518507
370.0,-334.922379133658,-233.13437645252336,-227.3894755440559
371.0,-335.52312987076084,-235.27879709779785,-229.39958963235807
372.0,-336.14932929388493,-237.43700130088163,-231.38705759443206
373.0,-336.7862861723219,-239.60538626122724,-233.35997234138864
374.0,-337.33993710555745,-241.77903037250775,-235.35214249517142
375.0,-337.96071085246655,-243.9199310754567,-237.3599233933924
376.0,-338.55397678784385,-246.08705995377568,-239.3477835380396
377.0,-339.02107689659476,-248.28270878969417,-241.3379955060809
378.0,-339.2048154332133,-250.54659210911632,-243.29786092651244
379.0,-339.4373046624442,-252.75857936770032,-245.31108250551304
380.0,-339.92516272334507,-254.93577546209033,-247.3165280118749
381.0,-340.4677213250737,-257.10862771733866,-249.31260998427794
382.0,-341.1633237118342,-259.24693170996113,-251.29850861076113
383.0,-341.9401386652121,-261.29083683305,-253.35253158434728
384.0,-343.13796724236107,-263.2898864533224,-255.24171323666502
